Membership No  Date Joined  Active  
    83594      2015-9-11    no    
    55802      2016-5-5     yes   
    55550      2019-11-24   yes   
    93768      2016-11-2    yes   
    27630      2017-4-15    yes   
    11122      2015-8-15    yes   
    83067      2016-3-15    yes   
    90115      2020-5-18    yes   
    22820      2015-1-17    yes   
    83122      2018-10-21   yes   
    57996      2015-7-8     yes   
    94649      2015-5-10    yes   
    56633      2018-5-4     yes   
    98670      2018-3-2     no    
    65851      2015-11-4    no    
    45605      2018-2-16    no    
    47730      2020-12-23   yes   
    30761      2018-12-24   no    
    97433      2020-1-4     yes   
    17348      2016-11-18   no    
