Membership No  Date Joined  Active  
    47759      2015-9-11    no    
    11980      2019-11-4    yes   
    99386      2018-12-5    no    
    16968      2019-1-20    yes   
    49012      2016-5-1     yes   
    50345      2017-9-11    yes   
    14973      2019-5-3     no    
    30880      2015-3-4     no    
    91703      2015-9-6     yes   
    77571      2017-12-11   yes   
    48886      2020-3-15    no    
    74020      2020-9-14    no    
    99404      2020-8-18    yes   
    24032      2019-1-9     no    
    14132      2019-11-12   no    
    26580      2015-5-23    no    
    40217      2017-10-23   yes   
    54392      2018-3-16    yes   
    10669      2016-12-7    yes   
    56547      2018-7-19    yes   
